Country_Name_en,Country_name,Income_Group,Region,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Egypt, Arab Rep.",阿拉伯埃及共和国,中低等收入国家,中东与北非地区（不包括高收入）,,1.04454105,0.824518404,0.952529777,0.991482127,0.616326643,0.534846895,1.251062097,0.745529869,0.488214866,0.569727166,0.871869992
Euro area,欧洲货币联盟,,,15.77889188,15.51544135,17.0675417,17.04124745,16.30068265,17.003875,17.15170312,17.24427966,17.84554965,18.05715502,16.39744657,15.90269636
Eritrea,厄立特里亚,低收入国家,撒哈拉以南非洲地区（不包括高收入）,,,,,,,,,,,,
Spain,西班牙,高收入国家,,5.578855457,5.741933711,6.697595726,6.782294914,6.822160773,7.363698749,8.077260536,7.427415878,7.581192397,7.451264474,7.73699774,7.193113934
Estonia,爱沙尼亚,高收入国家,,11.78046987,10.76515982,10.30752932,15.67155953,22.15508158,20.45284131,20.53801193,23.328647,22.44167661,22.01913397,17.60942923,16.92684591
Ethiopia,埃塞俄比亚,低收入国家,撒哈拉以南非洲地区（不包括高收入）,,6.004196235,4.010460085,4.456737144,2.213438165,3.182972677,2.762254699,8.773044958,5.779924411,5.838211692,,
European Union,欧洲联盟,,,16.21843825,15.93336084,17.35236481,17.57287402,16.93061437,17.43385009,17.48420679,17.39927493,17.99600046,18.24315123,16.68922432,16.2454834
Fragile and conflict affected situations,脆弱和受衝突影響的情況下,,,,,,,,,,,,,,
Finland,芬兰,高收入国家,,21.80432322,21.55272616,18.08747036,13.18270058,11.1148728,10.51711696,9.092406872,10.12662711,10.21187733,10.0586466,9.561327551,8.929007815
Fiji,斐济,中高等收入国家,东亚与太平洋地区（不包括高收入）,,3.50279896,4.805585025,3.596746282,3.899863081,2.12320038,2.236483574,2.146410634,1.713565531,2.402982957,3.371011942,2.859675734
France,法国,高收入国家,,20.31886913,21.73988285,24.38033203,26.59034953,25.31852667,26.85293215,27.28334538,27.61210577,28.35668375,28.07599018,26.09073685,25.92001856
Faroe Islands,法罗群岛,高收入国家,,0.479431194,4.809114405,0.63895791,,,,,,,,,
"Micronesia, Fed. Sts.",密克罗尼西亚联邦,中低等收入国家,东亚与太平洋地区（不包括高收入）,,,,,,,,,,,,
Gabon,加蓬,中高等收入国家,撒哈拉以南非洲地区（不包括高收入）,,,,,,,,,,,,
United Kingdom,英国,高收入国家,,21.11749192,20.83815071,20.80359547,23.54890036,23.5783443,23.80008493,23.87652791,22.47136356,22.6715725,23.98313597,23.03295167,22.59207945
Georgia,格鲁吉亚,中高等收入国家,欧洲与中亚地区（不包括高收入）,,,4.120162347,2.332442233,1.507424033,2.493567426,2.538611876,4.10382354,6.287810067,4.560222009,3.499618583,3.331770046
Ghana,加纳,中低等收入国家,撒哈拉以南非洲地区（不包括高收入）,,,,2.396851129,1.698087332,7.775215676,5.106824149,,,2.287721058,4.443816711,8.259932067
Gibraltar,直布罗陀,高收入国家,,,,,,,,,,,,,
Guinea,几内亚,低收入国家,撒哈拉以南非洲地区（不包括高收入）,,,,,,,2.496938589,5.082671226,0.959467237,,,
"Gambia, The",冈比亚,低收入国家,撒哈拉以南非洲地区（不包括高收入）,,,,,5.174478838,0.179299499,7.321329111,0,0.055418674,1.250463005,0.080396991,
Guinea-Bissau,几内亚比绍共和国,低收入国家,撒哈拉以南非洲地区（不包括高收入）,,,,,,,,,,,,
Equatorial Guinea,赤道几内亚,中高等收入国家,撒哈拉以南非洲地区（不包括高收入）,,,,,,,,,,,,
Greece,希腊,高收入国家,,8.953987567,10.98142352,12.15131666,11.51190047,11.14642229,10.05669694,8.375150463,11.40054346,12.80670466,13.6166331,11.99180698,12.80884513
Grenada,格林纳达,中高等收入国家,拉丁美洲与加勒比海地区（不包括高收入）,,,,,,,,,,,,
Greenland,格陵兰,高收入国家,,14.1061074,4.273882769,,47.2748637,8.700243496,47.28709482,1.461132482,1.042661354,78.47662832,4.80668509,4.337204371,1.709252349
